Date,Total Scheduled Auctions,Clearance Rate
12 Mar 2016,669,73.56
19 Mar 2016,1088,76.99
14 Jan 2017,87,79.31
14 Jan 2017,45,100
28 Jan 2017,141,81.82
23 Apr 2016,614,80
30 Jul 2016,470,78.62
26 Nov 2016,1367,77.3
10 Jun 2017,703,69.4
20 Feb 2016,711,80.12
11 Jun 2016,420,75.9
11 Feb 2017,842,77.91
13 Aug 2016,572,83.04
9 Jul 2016,490,79.16
12 Nov 2016,1216,81.64
25 Feb 2017,1379,81.09
4 Jun 2016,651,77.46
15 Apr 2017,335,77.23
20 May 2017,1192,78.29
18 Jun 2016,714,76.46
5 Nov 2016,1197,80.05
3 Jun 2017,1117,76.09
21 Jan 2017,168,80.72
16 Jan 2016,10,75
18 Mar 2017,1131,82.08
18 Mar 2017,1131,82.08
27 Feb 2016,850,74.58
22 Apr 2017,709,70.35
29 Apr 2017,976,74.79
17 Sep 2016,997,81.88
1 Jul 2017,937,70.45
1 Oct 2016,610,79.14
26 Mar 2016,332,77.19
27 Aug 2016,697,82.45
24 Jun 2017,1105,70.93
10 Sep 2016,673,80.21
22 Oct 2016,994,83.28
6 Feb 2016,262,72.83
2 Apr 2016,636,71.34
4 Mar 2017,1010,78.57
1 Apr 2017,1257,78.43
2 Jul 2016,324,78.14
8 Apr 2017,1603,77.34
23 Jan 2016,12,62.5
8 Oct 2016,873,76.63
30 Apr 2016,788,75.33
4 Feb 2017,421,74.51
17 Dec 2016,1063,70.29
13 May 2017,1073,75.82
24 Sep 2016,1113,81.43
23 Jul 2016,424,74.17
25 Jun 2016,764,76.78
16 Apr 2016,453,69.14
10 Dec 2016,1384,74.73
13 Feb 2016,455,78.15
14 May 2016,603,75.54
11 Mar 2017,975,80.33
15 Oct 2016,987,80.86
3 Dec 2016,1352,74.16
3 Sep 2016,658,83.57
9 Apr 2016,652,68.56
21 May 2016,686,74.85
30 Jan 2016,57,35.71
27 May 2017,1231,74.62
6 May 2017,761,73.06
5 Mar 2016,669,68.94
29 Oct 2016,1243,81.49
16 Jul 2016,445,78.76
20 Aug 2016,614,85.81
7 May 2016,632,74.08
6 Aug 2016,497,79.37
19 Nov 2016,1208,77.19
18 Feb 2017,975,79.38
17 Jun 2017,1047,69.5
25 Mar 2017,1264,78.28
28 May 2016,765,76.53
28 May 2016,765,76.53
